gen_count, change_count, dist, prec, iterations, end_fitness
5, 4, 0.1, 700, 36, 734.3374790796383
5, 4, 0.1, 700, 66, 700.6713637907022
5, 4, 0.1, 700, 40, 701.1766802623159
5, 4, 0.1, 700, 36, 713.00507712879
5, 4, 0.1, 700, 63, 716.9584476427765
5, 4, 0.1, 800, 81, 820.0592450415176
5, 4, 0.1, 800, 89, 812.4968003248379
5, 4, 0.1, 800, 70, 817.0529250174044
5, 4, 0.1, 800, 59, 802.4476827655105
5, 4, 0.1, 800, 47, 823.160882314595
5, 4, 0.1, 999, 327, 999.0695332357539
5, 4, 0.1, 999, 317, 999.4760168112665
5, 4, 0.1, 999, 149, 999.0598610486477
5, 4, 0.1, 999, 158, 999.0331843403956
5, 4, 0.1, 999, 564, 999.4380573445474
5, 4, 0.1, 999.9, 1221, 999.9191507914134
5, 4, 0.1, 999.9, 4762, 999.9294098063016
5, 4, 0.1, 999.9, 7459, 999.9390674802389
5, 4, 0.1, 999.9, 2964, 999.9391230150474
5, 4, 0.1, 999.9, 32404, 999.9170095885802
5, 4, 0.1, 999.99, 1581595, 999.9911954741124
5, 4, 0.1, 999.99, 835123, 999.9951851020741
5, 4, 0.1, 999.99, 301802, 999.9958165050858
5, 4, 0.1, 999.99, 379055, 999.9932159227176
5, 4, 0.1, 999.99, 3359050, 999.9926204923362
5, 4, 0.1, 999.999, 10000000, 999.9939694932618
5, 4, 0.1, 999.999, 10000000, 999.9975244198054
5, 4, 0.1, 999.999, 10000000, 999.9940057106439
5, 4, 0.1, 999.999, 10000000, 999.9978071769601
5, 4, 0.1, 999.999, 10000000, 999.9954139368563
5, 4, 0.1, 999.9999, 10000000, 999.9956927788694
5, 4, 0.1, 999.9999, 10000000, 999.9969880565466
5, 4, 0.1, 999.9999, 10000000, 999.996156116933
5, 4, 0.1, 999.9999, 10000000, 999.9980888810475
5, 4, 0.1, 999.9999, 10000000, 999.9970045105558
5, 1, 0.05, 700, 405, 700.2544652480092
5, 1, 0.05, 700, 363, 701.7637333843445
5, 1, 0.05, 700, 27, 718.8181787529068
5, 1, 0.05, 700, 278, 704.9816010242506
5, 1, 0.05, 700, 323, 702.9288523792516
5, 1, 0.05, 800, 103, 807.9906149590194
5, 1, 0.05, 800, 381, 816.0859036326923
5, 1, 0.05, 800, 287, 803.7904990385189
5, 1, 0.05, 800, 291, 813.2807327466726
5, 1, 0.05, 800, 319, 806.0502759003003
5, 1, 0.05, 999, 598, 999.5417031621522
5, 1, 0.05, 999, 340, 999.9932432602105
5, 1, 0.05, 999, 545, 999.268081374487
5, 1, 0.05, 999, 694, 999.9580712533431
5, 1, 0.05, 999, 640, 999.7922704671986
5, 1, 0.05, 999.9, 610, 999.9361033867203
5, 1, 0.05, 999.9, 506, 999.944282727561
5, 1, 0.05, 999.9, 658, 999.9215286643448
5, 1, 0.05, 999.9, 592, 999.9863120458965
5, 1, 0.05, 999.9, 643, 999.9632757863425
5, 1, 0.05, 999.99, 646, 999.9988061982796
5, 1, 0.05, 999.99, 593, 999.9983502538811
5, 1, 0.05, 999.99, 684, 999.9992185626311
5, 1, 0.05, 999.99, 586, 999.9951595256302
5, 1, 0.05, 999.99, 577, 999.9972718892327
5, 1, 0.05, 999.999, 1133, 999.9990577053986
5, 1, 0.05, 999.999, 1054, 999.9997986274212
5, 1, 0.05, 999.999, 1169, 999.9997499633299
5, 1, 0.05, 999.999, 624, 999.9990542421631
5, 1, 0.05, 999.999, 931, 999.9993843511203
5, 1, 0.05, 999.9999, 3335, 999.9999000250916
5, 1, 0.05, 999.9999, 2747, 999.9999220876265
5, 1, 0.05, 999.9999, 1472, 999.9999276330205
5, 1, 0.05, 999.9999, 2196, 999.9999501298656
5, 1, 0.05, 999.9999, 1331, 999.9999080605037
5, 2, 0.05, 700, 198, 700.5567710993121
5, 2, 0.05, 700, 264, 708.7475395802543
5, 2, 0.05, 700, 245, 702.5388068796371
5, 2, 0.05, 700, 202, 704.1103244144485
5, 2, 0.05, 700, 177, 705.946429984229
5, 2, 0.05, 800, 167, 800.9254270519158
5, 2, 0.05, 800, 107, 800.16700582708
5, 2, 0.05, 800, 204, 807.8109405783267
5, 2, 0.05, 800, 184, 800.9397168329951
5, 2, 0.05, 800, 206, 802.6393074420743
5, 2, 0.05, 999, 192, 999.1437813892297
5, 2, 0.05, 999, 378, 999.1823458939327
5, 2, 0.05, 999, 177, 999.395537292942
